,"[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)",20221231,20211231,20201231,"[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)",20230630,20220630,20210630,20191231,20200630,20190630,20180630,20170630,20160630,20230331,20220331,20210331,20220930,20181231,20171231,20161231,20151231,20141231,"[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: USD)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: USD)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: USD)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: USD)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: USD)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: USD)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: USD)",20131231,20121231,20111231
,concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)",class4,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)",concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
10599,dart_ShortTermWithholdings,예수금,withholdings,재무상태표 [abstract],부채 [abstract],유동부채,예수금,8633414711.0,6547411077.0,4746706426.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10600,ifrs-full_CurrentPortionOfLongtermBorrowings,유동성장기차입금,Current portion of long-term borrowings,재무상태표 [abstract],부채 [abstract],유동부채,유동성장기차입금,1125960000.0,1450470000.0,1951240000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10601,dart_CurrentPortionOfBonds,유동성사채,Current portion of bonds,재무상태표 [abstract],부채 [abstract],유동부채,유동성사채,59990529231.0,0.0,99978117238.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10602,entity00108940_udf_BS_201951219340969_CurrentLiabilities,리스부채,Lease liabilities (current),재무상태표 [abstract],부채 [abstract],유동부채,리스부채,2511083728.0,2709194569.0,2403102986.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10603,ifrs-full_CurrentProvisions,충당부채,Current provisions,재무상태표 [abstract],부채 [abstract],유동부채,충당부채,0.0,0.0,1986000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10604,ifrs-full_NoncurrentLiabilities,비유동부채,Non-current liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,,290347387141.0,360592026736.0,243258063324.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10605,dart_BondsIssued,사채,Bonds issued,재무상태표 [abstract],부채 [abstract],비유동부채,사채,109843395614.0,169631414707.0,59849752231.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10606,dart_LongTermBorrowingsGross,장기차입금,"Long-term borrowings, gross",재무상태표 [abstract],부채 [abstract],비유동부채,장기차입금,2295700000.0,3116670761.0,4416513853.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10607,entity00108940_udf_BS_2017119144521852_NoncurrentLiabilities,수입보증금,deposits Provided,재무상태표 [abstract],부채 [abstract],비유동부채,수입보증금,1303930000.0,3034650114.0,3224929030.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10608,dart_PresentValueOfDefinedBenefitObligation,순확정급여부채,defined benefit obligation,재무상태표 [abstract],부채 [abstract],비유동부채,순확정급여부채,6495250700.0,6527391919.0,5373850831.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10609,ifrs-full_DeferredIncomeClassifiedAsNoncurrent,이연수익,Deferred income classified as non-current,재무상태표 [abstract],부채 [abstract],비유동부채,이연수익,103683063031.0,99347349267.0,94643837829.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10610,dart_LongTermIncomeReceivedInAdvance,장기선수수익,Long-term income received in advance,재무상태표 [abstract],부채 [abstract],비유동부채,장기선수수익,5790044140.0,5947532629.0,6302183503.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10611,entity00108940_udf_BS_201932422165451_NoncurrentLiabilities,장기미지급비용,Long-term accrued expenses,재무상태표 [abstract],부채 [abstract],비유동부채,장기미지급비용,677090291.0,975015373.0,1192863112.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10612,ifrs-full_NoncurrentLeaseLiabilities,리스부채,Non-current lease liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,리스부채,21763586517.0,22679148516.0,21596590615.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10613,ifrs-full_NoncurrentProvisions,충당부채,Non-current provisions,재무상태표 [abstract],부채 [abstract],비유동부채,충당부채,10732000000.0,11837000000.0,10604000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10614,ifrs-full_DeferredTaxLiabilities,이연법인세부채,Deferred tax liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,이연법인세부채,27763326848.0,37495853450.0,36053542320.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10615,ifrs-full_Liabilities,부채총계,Total liabilities,재무상태표 [abstract],부채 [abstract],부채총계,,786541938665.0,647101706869.0,599463866516.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10616,ifrs-full_EquityAttributableToOwnersOfParent,지배회사 소유주 지분,Equity attributable to owners of parent,재무상태표 [abstract],자본 [abstract],지배회사 소유주 지분,,479166130471.0,470722293400.0,457431983983.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10617,ifrs-full_IssuedCapital,자본금,Issued capital,재무상태표 [abstract],자본 [abstract],지배회사 소유주 지분,자본금,16089459000.0,16089459000.0,16089459000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10618,dart_IssuedCapitalOfCommonStock,보통주자본금,Issued capital of common stock,재무상태표 [abstract],자본 [abstract],지배회사 소유주 지분,자본금,16089459000.0,16089459000.0,16089459000.0,보통주자본금,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10619,dart_CapitalSurplus,자본잉여금,Capital surplus,재무상태표 [abstract],자본 [abstract],지배회사 소유주 지분,자본잉여금,66595146223.0,66489923701.0,66489923701.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10620,ifrs-full_SharePremium,주식발행초과금,Share premium,재무상태표 [abstract],자본 [abstract],지배회사 소유주 지분,자본잉여금,17660077860.0,17660077860.0,17660077860.0,주식발행초과금,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10621,dart_OtherCapitalSurplus,기타의자본잉여금,Other capital surplus,재무상태표 [abstract],자본 [abstract],지배회사 소유주 지분,자본잉여금,48935068363.0,48829845841.0,48829845841.0,기타의자본잉여금,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10622,dart_ElementsOfOtherStockholdersEquity,자본조정,capital adjustments,재무상태표 [abstract],자본 [abstract],지배회사 소유주 지분,자본조정,-44844635327.0,-44844635327.0,-45880122606.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10623,dart_LossesSaleTreasuryStock,자기주식처분손실,Losses sale treasury stock,재무상태표 [abstract],자본 [abstract],지배회사 소유주 지분,자본조정,38540871.0,38540871.0,38540871.0,자기주식처분손실,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10624,dart_OtherCapitalAdjustments,기타의 자본조정,Other capital adjustments,재무상태표 [abstract],자본 [abstract],지배회사 소유주 지분,자본조정,-44806094456.0,-44806094456.0,-45841581735.0,기타의 자본조정,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10625,dart_OtherComprehensiveIncomeLossAccumulatedAmount,기타포괄손익누계액,Other Comprehensive income/loss accumulated amount,재무상태표 [abstract],자본 [abstract],지배회사 소유주 지분,기타포괄손익누계액,-15783646832.0,-20653841188.0,-20871409922.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10626,dart_ReserveOfGainsOnFinancialAssetsMeasuredAtFairValueThroughOtherComprehensiveIncome,기타포괄손익-공정가치평가손익,Reserve of gains on financial assets measured at fair value through other comprehensive income,재무상태표 [abstract],자본 [abstract],지배회사 소유주 지분,기타포괄손익누계액,-869179647.0,-1394785084.0,-1186573248.0,기타포괄손익-공정가치평가손익,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10627,entity00108940_udf_BS_201889162430617_OtherComprehensiveIncomeLossAccumulatedAmount,부의관계기업주식자본변동,changes in equity,재무상태표 [abstract],자본 [abstract],지배회사 소유주 지분,기타포괄손익누계액,-14914467185.0,-19259056104.0,-19684836674.0,부의관계기업주식자본변동,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10628,ifrs-full_RetainedEarnings,이익잉여금,Retained earnings,재무상태표 [abstract],자본 [abstract],지배회사 소유주 지분,이익잉여금,457109807407.0,453641387214.0,441604133810.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10629,dart_AppropriatedRetainedEarningsOtherLegalReserves,법정적립금,Appropriated retained earnings other legal reserves,재무상태표 [abstract],자본 [abstract],지배회사 소유주 지분,이익잉여금,11644729500.0,11644729500.0,11644729500.0,법정적립금,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10630,dart_VoluntaryReserves,임의적립금,Voluntary Reserves,재무상태표 [abstract],자본 [abstract],지배회사 소유주 지분,이익잉여금,98600000000.0,98600000000.0,98600000000.0,임의적립금,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10631,dart_RetainedEarningsBeforeAppropriationsAccumulatedDeficitBeforeDisposition,미처분이익잉여금,Retained earnings before appropriations(accumulated deficit before disposition),재무상태표 [abstract],자본 [abstract],지배회사 소유주 지분,이익잉여금,346865077907.0,343396657714.0,331359404310.0,미처분이익잉여금,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10632,ifrs-full_NoncontrollingInterests,비지배지분,Non-controlling interests,재무상태표 [abstract],자본 [abstract],비지배지분,,125638008682.0,126188862779.0,124229604045.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10633,ifrs-full_Equity,자본총계,Total equity,재무상태표 [abstract],자본 [abstract],자본총계,,604804139153.0,596911156179.0,581661588028.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10634,ifrs-full_EquityAndLiabilities,부채 및 자본 총계,Total equity and liabilities,재무상태표 [abstract],부채 및 자본 총계,,,1391346077818.0,1244012863048.0,1181125454544.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10635,ifrs-full_CurrentAssets,유동자산,Current assets,재무상태표 [abstract],자산 [abstract],유동자산,,263604207552.0,325579208757.0,263172507506.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10636,ifrs-full_CashAndCashEquivalents,현금및현금성자산,Cash and cash equivalents,재무상태표 [abstract],자산 [abstract],유동자산,현금및현금성자산,23066447980.0,82939122950.0,78287265232.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10637,dart_ShortTermDepositsNotClassifiedAsCashEquivalents,단기금융상품,Short-term deposits not classified as cash equivalents,재무상태표 [abstract],자산 [abstract],유동자산,단기금융상품,1500000000.0,5369159997.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10638,ifrs-full_TradeAndOtherCurrentReceivables,매출채권 및 기타유동채권,Trade and other current receivables,재무상태표 [abstract],자산 [abstract],유동자산,매출채권 및 기타유동채권,69442180260.0,91353503861.0,70057045477.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10639,ifrs-full_CurrentTaxAssets,당기법인세자산,Current tax assets,재무상태표 [abstract],자산 [abstract],유동자산,당기법인세자산,149880218.0,350115283.0,389477292.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10640,ifrs-full_OtherCurrentFinancialAssets,기타유동금융자산,Other current financial assets,재무상태표 [abstract],자산 [abstract],유동자산,기타유동금융자산,14148428.0,87696537.0,80637633.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10641,ifrs-full_Inventories,재고자산,Inventories,재무상태표 [abstract],자산 [abstract],유동자산,재고자산,164507719499.0,136530696356.0,109420542034.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10642,dart_OtherCurrentAssets,기타유동자산,Other current assets,재무상태표 [abstract],자산 [abstract],유동자산,기타유동자산,4923831167.0,8948913773.0,4937539838.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10643,ifrs-full_NoncurrentAssets,비유동자산,Non-current assets,재무상태표 [abstract],자산 [abstract],비유동자산,,284648791511.0,253913256341.0,241929643075.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10644,dart_LongTermDepositsNotClassifiedAsCashEquivalents,장기금융상품,Long-term deposits not classified as cash equivalents,재무상태표 [abstract],자산 [abstract],비유동자산,장기금융상품,6500000.0,6500000.0,6500401.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10645,ifrs-full_NoncurrentFinancialAssetsMeasuredAtFairValueThroughOtherComprehensiveIncome,비유동 기타포괄손익-공정가치 측정 금융자산,Non-current financial assets measured at fair value through other comprehensive income,재무상태표 [abstract],자산 [abstract],비유동자산,비유동 기타포괄손익-공정가치 측정 금융자산,2358251409.0,3514787714.0,3477336598.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10646,ifrs-full_NoncurrentFinancialAssetsAtFairValueThroughProfitOrLossDesignatedUponInitialRecognition,비유동 당기손익-공정가치 측정 지정 금융자산,"Non-current financial assets at fair value through profit or loss, designated upon initial recognition or subsequently",재무상태표 [abstract],자산 [abstract],비유동자산,비유동 당기손익-공정가치 측정 지정 금융자산,8600000.0,8600000.0,8600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10647,dart_NonCurrentAvailableForSaleFinancialAssets,비유동매도가능금융자산,Non-current available-for-sale financial assets,재무상태표 [abstract],자산 [abstract],비유동자산,비유동매도가능금융자산,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10648,ifrs-full_InvestmentAccountedForUsingEquityMethod,공동기업 투자,Investments accounted for using equity method,재무상태표 [abstract],자산 [abstract],비유동자산,공동기업 투자,10916865007.0,11185242114.0,11735854847.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10649,ifrs-full_PropertyPlantAndEquipment,유형자산,"Property, plant and equipment",재무상태표 [abstract],자산 [abstract],비유동자산,유형자산,258513288841.0,228764683066.0,216322987236.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10650,ifrs-full_InvestmentProperty,투자부동산,Investment property,재무상태표 [abstract],자산 [abstract],비유동자산,투자부동산,1771533166.0,1782072137.0,1792611108.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10651,ifrs-full_IntangibleAssetsOtherThanGoodwill,영업권 이외의 무형자산,Intangible assets other than goodwill,재무상태표 [abstract],자산 [abstract],비유동자산,영업권 이외의 무형자산,5277819959.0,6420705256.0,7040427357.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10652,ifrs-full_OtherNoncurrentFinancialAssets,기타비유동금융자산,Other non-current financial assets,재무상태표 [abstract],자산 [abstract],비유동자산,기타비유동금융자산,2472608494.0,1585666217.0,1545325528.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10653,ifrs-full_DeferredTaxAssets,이연법인세자산,Deferred tax assets,재무상태표 [abstract],자산 [abstract],비유동자산,이연법인세자산,1373788497.0,644999837.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10654,entity00102113_udf_BS_202322313456183_NoncurrentAssets,순확정급여자산,The net defined benefit assets,재무상태표 [abstract],자산 [abstract],비유동자산,순확정급여자산,1949536138.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10655,ifrs-full_Assets,자산총계,Total assets,재무상태표 [abstract],자산 [abstract],자산총계,,548252999063.0,579492465098.0,505102150581.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10656,ifrs-full_CurrentLiabilities,유동부채,Current liabilities,재무상태표 [abstract],부채 [abstract],유동부채,,214042008855.0,269212053516.0,216267408557.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10657,ifrs-full_TradeAndOtherCurrentPayables,매입채무 및 기타유동채무,Trade and other current payables,재무상태표 [abstract],부채 [abstract],유동부채,매입채무 및 기타유동채무,25752465122.0,43734059410.0,26817660361.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10658,ifrs-full_ShorttermBorrowings,단기차입금,Short-term borrowings,재무상태표 [abstract],부채 [abstract],유동부채,단기차입금,155994969405.0,190433553275.0,161934899118.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10659,ifrs-full_CurrentPortionOfLongtermBorrowings,유동성장기차입금,Current portion of long-term borrowings,재무상태표 [abstract],부채 [abstract],유동부채,유동성장기차입금,4400000000.0,10798901838.0,8711240000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10660,ifrs-full_OtherCurrentFinancialLiabilities,기타유동금융부채,Other current financial liabilities,재무상태표 [abstract],부채 [abstract],유동부채,기타유동금융부채,20018167591.0,16705820543.0,14761429624.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10661,ifrs-full_CurrentTaxLiabilities,당기법인세부채,Current tax liabilities,재무상태표 [abstract],부채 [abstract],유동부채,당기법인세부채,3518776612.0,3079747227.0,961612590.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10662,dart_OtherCurrentLiabilities,기타유동부채,Other current liabilities,재무상태표 [abstract],부채 [abstract],유동부채,기타유동부채,4357630125.0,4459971223.0,3080566864.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10663,ifrs-full_NoncurrentLiabilities,비유동부채,Non-current liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,,68056486852.0,58410496832.0,60452986496.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10664,dart_LongTermBorrowingsGross,장기차입금,"Long-term borrowings, gross",재무상태표 [abstract],부채 [abstract],비유동부채,장기차입금,54561590935.0,43499597499.0,44110606901.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10665,ifrs-full_OtherNoncurrentFinancialLiabilities,기타비유동금융부채,Other non-current financial liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,기타비유동금융부채,2485467328.0,3817435956.0,5565612367.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10666,dart_PostemploymentBenefitObligations,퇴직급여부채,Post-employment benefit obligations,재무상태표 [abstract],부채 [abstract],비유동부채,퇴직급여부채,0.0,1082166929.0,1413572781.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10667,ifrs-full_DeferredTaxLiabilities,이연법인세부채,Deferred tax liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,이연법인세부채,11009428589.0,10011296448.0,9363194447.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10668,ifrs-full_Liabilities,부채총계,Total liabilities,재무상태표 [abstract],부채 [abstract],부채총계,,282098495707.0,327622550348.0,276720395053.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10669,ifrs-full_EquityAttributableToOwnersOfParent,지배기업의 소유주에게 귀속되는 자본,Equity attributable to owners of parent,재무상태표 [abstract],자본 [abstract],지배기업의 소유주에게 귀속되는 자본,,242082082814.0,230327582433.0,208822650878.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10670,ifrs-full_IssuedCapital,자본금,Issued capital,재무상태표 [abstract],자본 [abstract],지배기업의 소유주에게 귀속되는 자본,자본금,20808182500.0,20788182500.0,20638182500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10671,dart_CapitalSurplus,자본잉여금,Capital surplus,재무상태표 [abstract],자본 [abstract],지배기업의 소유주에게 귀속되는 자본,자본잉여금,43068861444.0,42796646716.0,41323668585.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10672,dart_ElementsOfOtherStockholdersEquity,기타자본구성요소,Elements of other stockholder's equity,재무상태표 [abstract],자본 [abstract],지배기업의 소유주에게 귀속되는 자본,기타자본구성요소,466757034.0,530629801.0,1001381197.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10673,dart_OtherComprehensiveIncomeLossAccumulatedAmount,기타포괄손익누계액,Other Comprehensive income/loss accumulated amount,재무상태표 [abstract],자본 [abstract],지배기업의 소유주에게 귀속되는 자본,기타포괄손익누계액,-5111231969.0,-3825601385.0,-2058213015.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10674,ifrs-full_RetainedEarnings,이익잉여금(결손금),Retained earnings,재무상태표 [abstract],자본 [abstract],지배기업의 소유주에게 귀속되는 자본,이익잉여금(결손금),182849513805.0,170037724801.0,147917631611.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10675,ifrs-full_NoncontrollingInterests,비지배지분,Non-controlling interests,재무상태표 [abstract],자본 [abstract],비지배지분,,24072420542.0,21542332317.0,19559104650.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10676,ifrs-full_Equity,자본총계,Total equity,재무상태표 [abstract],자본 [abstract],자본총계,,266154503356.0,251869914750.0,228381755528.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10677,ifrs-full_EquityAndLiabilities,자본과부채총계,Total equity and liabilities,재무상태표 [abstract],자본과부채총계,,,548252999063.0,579492465098.0,505102150581.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10678,ifrs-full_CurrentAssets,유동자산,Current assets,재무상태표 [abstract],자산 [abstract],유동자산,,718357025915.0,657162042380.0,604434843652.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10679,ifrs-full_CashAndCashEquivalents,현금및현금성자산,Cash and cash equivalents,재무상태표 [abstract],자산 [abstract],유동자산,현금및현금성자산,81697098203.0,118323841045.0,93329298617.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10680,dart_ShortTermDepositsNotClassifiedAsCashEquivalents,단기금융상품,Short-term deposits not classified as cash equivalents,재무상태표 [abstract],자산 [abstract],유동자산,단기금융상품,50115255608.0,33042368500.0,21223422984.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10681,ifrs-full_TradeAndOtherCurrentReceivables,매출채권 및 기타유동채권,Trade and other current receivables,재무상태표 [abstract],자산 [abstract],유동자산,매출채권 및 기타유동채권,237792411915.0,226635782707.0,242559611310.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10682,ifrs-full_Inventories,재고자산,Inventories,재무상태표 [abstract],자산 [abstract],유동자산,재고자산,219196266526.0,161844689330.0,135247291061.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10683,entity00855093_udf_BS_20171030164835673_CurrentAssets,소비용생물자산,Consumerble Biological assets (Current),재무상태표 [abstract],자산 [abstract],유동자산,소비용생물자산,97404616385.0,91833998523.0,92804064776.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10684,entity00855093_udf_BS_20208131181966_CurrentAssets,생산용생물자산,Bearer Biological assets (Non-current),재무상태표 [abstract],자산 [abstract],유동자산,생산용생물자산,661799650.0,453031785.0,722093829.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10685,entity00855093_udf_BS_2019313175256575_CurrentAssets,기타금융자산,Other financial assets,재무상태표 [abstract],자산 [abstract],유동자산,기타금융자산,5311722441.0,1174694036.0,208445575.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10686,dart_OtherCurrentAssets,기타유동자산,Other current assets,재무상태표 [abstract],자산 [abstract],유동자산,기타유동자산,26133404267.0,23842134474.0,18326838964.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10687,ifrs-full_CurrentTaxAssets,당기법인세자산,Current tax assets,재무상태표 [abstract],자산 [abstract],유동자산,당기법인세자산,44450920.0,11501980.0,13776536.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10688,ifrs-full_NoncurrentAssets,비유동자산,Non-current assets,재무상태표 [abstract],자산 [abstract],비유동자산,,615259151436.0,591730344715.0,582145517861.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10689,dart_LongTermDepositsNotClassifiedAsCashEquivalents,장기금융상품,Long-term deposits not classified as cash equivalents,재무상태표 [abstract],자산 [abstract],비유동자산,장기금융상품,1243827027.0,879036683.0,573303188.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10690,dart_LongTermTradeAndOtherNonCurrentReceivablesGross,장기매출채권 및 기타비유동채권,"Long-term trade and other non-current receivables, gross",재무상태표 [abstract],자산 [abstract],비유동자산,장기매출채권 및 기타비유동채권,40269215336.0,32023740995.0,48149248295.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10691,ifrs-full_OtherNoncurrentFinancialAssets,기타비유동금융자산,Other non-current financial assets,재무상태표 [abstract],자산 [abstract],비유동자산,기타비유동금융자산,25190004502.0,24727696809.0,25188411024.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10692,entity00855093_udf_BS_2017103017652440_NoncurrentAssets,관계기업및공동기업투자,Investment in associates,재무상태표 [abstract],자산 [abstract],비유동자산,관계기업및공동기업투자,450111231.0,154087172.0,237930059.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10693,ifrs-full_InvestmentProperty,투자부동산,Investment property,재무상태표 [abstract],자산 [abstract],비유동자산,투자부동산,1765022806.0,1778786279.0,1792549751.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10694,ifrs-full_PropertyPlantAndEquipment,유형자산,"Property, plant and equipment",재무상태표 [abstract],자산 [abstract],비유동자산,유형자산,438101294609.0,429653888506.0,422512597596.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10695,entity00855093_udf_BS_20171030165040686_NoncurrentAssets,무형자산,Intangible assets,재무상태표 [abstract],자산 [abstract],비유동자산,무형자산,7404634680.0,7096953991.0,8457567548.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10696,entity00855093_udf_BS_2020323144737441_NoncurrentAssets,사용권자산,Right-of-use assets,재무상태표 [abstract],자산 [abstract],비유동자산,사용권자산,63680508072.0,63815028883.0,54618739282.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10697,entity00855093_udf_BS_202231018127921_NoncurrentAssets,순확정급여자산,net defined bebefit asset,재무상태표 [abstract],자산 [abstract],비유동자산,순확정급여자산,6480843001.0,1544026865.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10698,dart_OtherNonCurrentAssets,기타비유동자산,Other non-current assets,재무상태표 [abstract],자산 [abstract],비유동자산,기타비유동자산,4684138894.0,6539393950.0,5603441033.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10699,entity00855093_udf_BS_20171030165254269_NoncurrentAssets,생산용생물자산,Bearer Biological assets (Non-current),재무상태표 [abstract],자산 [abstract],비유동자산,생산용생물자산,17345623053.0,14232534141.0,12050826377.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10700,entity00855093_udf_BS_2020323145034544_NoncurrentAssets,이연법인세자산,Deferred tax assets,재무상태표 [abstract],자산 [abstract],비유동자산,이연법인세자산,8643928225.0,9285170441.0,2960903708.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
